Location Code,Latitude/ Easting,Longitude/ Northing
Brynhyfryd Ruthin School,53.115798,-3.2966817
Clawddnewydd,52.777033,-3.3678892
Gwytherin,53.13914,-3.6776504
Moel Y Crio,53.21974,-3.2090409
Plas Pigot,53.168868,-3.5703166
St Asaph,53.264584,-3.451024
Llanrwst,53.139911,-3.8020403
Ysbyty Ifan,52.994328,-3.7735611
Five Fords,53.025858,-2.9535249
Llanfynydd,53.103689,-3.0905588
Loggerheads,53.149188,-3.1968299
Mold,53.172387,-3.1374823
Nant Y Ffrith,53.07142,-3.1305951
Northop,53.20943,-3.1254213
Bala Climate,52.907416,-3.5834893
Cynefail,52.963273,-3.7248509
Llyn Alwen,53.063499,-3.5599289
Pant Gwyn,52.828567,-3.7070105
Tryweryn Dam Pluvio and,52.945151,-3.6667397
Abersoch,52.812674,-4.5096962
Afon Adda,53.212105,-4.1423227
Afon Colwyn,53.0267,-4.1256637
Bethesda Quarry,53.168505,-4.0657308
Criccieth,52.918085,-4.2493954
Cwm Dyli,53.067313,-4.0113282
Llithfaen,52.954232,-4.4423451
Llyn Alaw,53.339472,-4.4409252
Llyn Cefni,53.268208,-4.3332764
Trearddur Bay,53.264115,-4.6131789
Corris - Aberllefenni,52.679265,-3.8125868
Llan Y Mawddwy,52.740274,-3.6463927
Llanbrynmair,52.648513,-3.5993058
Porthmadog,52.930315,-4.1223199
Rhyd Y Main,52.797615,-3.785006
Carno Reservoir,51.809656,-3.2167269
Cwmtillery,51.755288,-3.1299887
Machen Waterloo,51.589311,-3.1640454
Nelson,51.651951,-3.2967281
Rhiwbina Res,51.534456,-3.2272079
Rhymney Reservoir,52.253424,-3.6387904
Trevethin,51.718341,-3.0303118
Ty Fry,51.689408,-3.2075244
Llwynon Reservoir,51.793003,-3.4337095
Maerdy WTW,51.679039,-3.4881214
Nant Yr Ysfa,51.657853,-3.3975177
Pontsticill Upper,51.797889,-3.3662566
St Fagans,51.48559,-3.2672733
Trelewis,51.684092,-3.2987023
Tyn Y Waun Treherbert,51.681388,-3.5444086
Brecon,51.939018,-3.4015996
Collister Climate Station,51.577237,-2.8022824
Crai Reservoir,51.887655,-3.6229202
Cwmafon,51.757223,-3.060275
Lodge Farm Frog,51.615371,-2.9808499
Maes Y Rhiw,51.647988,-3.0549345
Storey Arms,51.872726,-3.4792559
Tal Y Maes,51.926712,-3.1276293
Upper Chapel No1,52.067549,-3.4469381
Usk Reservoir No2,51.946841,-3.69791
Ynysfro,51.594504,-3.0319675
Cogmoors,51.419039,-3.2095882
Cowbridge STW,51.453264,-3.4452457
Dyffryn Isaf Llantrisant,51.554746,-3.4032689
Rhiwsaeson STW,51.534929,-3.3377777
Abernant,52.101146,-3.61863
Bleddfa,52.301424,-3.1696106
Break Your Neck Falls,52.232077,-3.2010548
Bwlch y Sarnau,52.361103,-3.4251721
Ciloerwynt,52.253548,-3.6389414
Elan Village,52.274175,-3.563221
Llanbadarn Fynydd,52.390532,-3.3284839
Llanerch Yrfa,51.83357,-3.6817437
Llangurig,52.404212,-3.6068589
Llanyre,52.251331,-3.3906523
Pant Mawr raingauge,52.428262,-3.7013381
Rhyader STW,52.295116,-3.4987181
Tafalog raingauge,51.959281,-3.053554
Talgarth,52.004936,-3.236804
Tregoyd,52.033022,-3.1738457
Brynamman,51.819674,-3.8593012
Bryncoch,51.834186,-3.9601068
Bynea,51.663436,-4.1102684
Felinfoel,51.699999,-4.1489598
Garnswllt,51.770371,-4.0004888
Gorslas,51.811983,-4.0850684
Llangendeirne raingauge,51.800749,-4.2424719
Upper Lliw,51.735134,-3.939118
Abercregan,51.679626,-3.6546251
Crynant,51.720656,-3.7544117
Fforch Dwm,51.661741,-3.7060829
Hirwaun,51.749142,-3.5423442
Resolven,51.70922,-3.7023257
Blaenogwr,51.635761,-3.5252862
Brackla,51.504862,-3.5398578
Croeserw,51.644625,-3.6452708
Llety Brongu,51.581417,-3.6196189
Bolton Hill,51.760836,-5.0170933
Clarbeston Road,51.851752,-4.8887233
Llanfyrnach,51.949257,-4.591997
Maenclochog,51.933469,-4.812237
Mathry,51.942333,-5.0822954
Pentlepoir,51.720185,-4.7250113
Tavernspite,51.786916,-4.6363572
Tenby,51.67497,-4.7279362
Trelech,51.944699,-4.5026199
Bontgoch,52.456274,-3.939291
Bow Street,52.438418,-4.032387
Cwm Rheidol raingauge,52.396077,-3.899963
Dinas,52.43132,-3.8445516
Frongoch,52.361068,-3.8778697
Pwll Peiran,52.35856,-3.8033513
Birchgrove,51.675909,-3.8676233
Dan Yr Ogof,51.831788,-3.682432
Gowerton,51.653591,-4.0321915
Pitton,51.566161,-4.2683361
Southgate,51.570137,-4.0840957
Spyte,51.718996,-3.9246881
Trebanos,51.705465,-3.8649473
Victoria Park,51.61241,-3.962119
Ystradfellte,51.818137,-3.5388527
Ystradgynlais,51.76356,-3.7769427
Ystradowen,51.784139,-3.8212604
Cellan,52.122017,-4.0428775
Ferwig,52.112845,-4.6550283
Llechryd,52.062139,-4.5848751
Penuwch,52.246116,-4.0669889
Pontrydfendigaid No2,52.284198,-3.8660693
Rhos Ymryson,52.12733,-4.2502918
Abergorlech,51.98461,-4.0599328
Caio,52.039591,-3.9334614
Cynghordy,52.044935,-3.7468461
Llynyfan,51.89985,-3.7488421
Myddfai,51.952713,-3.7835835
Nant Y Maen,52.209938,-3.8141568
Pencader,52.005407,-4.2669858
Rhydargaeau,51.911631,-4.2592189
Ystradffin No1,52.109203,-3.7717883
Llantwit Major,51.414662,-3.5058489
Cefn Coch,52.612343,-3.4172196
Dolydd,52.500357,-3.6611167
Henfryn,52.522556,-3.4298627
Llanfyllin,52.760714,-3.25586
Llangynog,52.82135,-3.4081627
Nantgwyn,52.380125,-3.5009052
Pen Y Coed,52.717569,-3.5144498
Penygwely,52.879647,-3.1591232
Rhos Y Meirch,52.320487,-3.057786
Sarn,52.50728,-3.1706195
Vyrnwy,52.757895,-3.4604257
Welshpool,52.657226,-3.1330043
Vyrnwy Weir,52.759937,-3.455159
Abermule,52.553516,-3.2335621
Rhos Y Pentref,52.430093,-3.5457583
Llanymynech,52.768986,-3.108765
Llanidloes,52.451218,-3.5391401
Caersws,52.514387,-3.4272838
Meifod,52.707346,-3.2501823
Bryntail,52.468113,-3.6006768
Pont Robert,52.704591,-3.3217383
Llandrinio,52.745866,-3.0410693
Llanerfyl,52.676678,-3.4337527
Buttington,52.672457,-3.1157842
Munlyn,52.601841,-3.1668495
Welshpool,52.660477,-3.1556953
Abernant,52.101101,-3.6180297
Builth Wells,52.15359,-3.4117659
Caban Elan,52.26906,-3.5719515
Chepstow Bridge,51.646479,-2.6705531
Cilmery,52.1465,-3.4695631
Ddol Farm,52.296371,-3.5032918
Disserth,52.209668,-3.4289108
Erwood,52.090631,-3.3498727
Glasbury,52.045649,-3.1966762
Grosmont Rhosllwyn,51.919462,-2.849825
Hay On Wye,52.076549,-3.1266888
Llanddewi,52.305401,-3.3146545
Michaelchurch on Arrow,52.151395,-3.1129386
Mitchel Troy,51.797403,-2.7228187
Monaughty,52.30887,-3.1174715
Monmouth,51.814631,-2.703235
Monnow Gate,51.808838,-2.7201007
Pant Mawr,52.428316,-3.7013108
Redbrook,51.796308,-2.6864046
Tafalog,51.95872,-3.0540211
Three Cocks,52.030516,-3.2169274
Chainbridge,51.745177,-2.94852
Crickhowell,51.856798,-3.1414316
Llandetty,51.875847,-3.2698363
Llanfoist Bridge,51.812118,-3.0182482
Millbrook,51.851535,-3.1040723
Olway Inn,51.705162,-2.8915327
Pont Ar Yscir,51.963118,-3.4517664
Pont Hen Hafod,51.917136,-3.5599175
Ponthir,51.625782,-2.9657612
Risca,51.607067,-3.1028958
Skenfrith,51.881766,-2.7886765
Trallong,51.954084,-3.5331135
Trostrey Weir,51.732824,-2.9303055
Usk Town,51.701973,-2.9064471
Ynysddu,51.624492,-3.1878286
Fiddlers Elbow,51.647758,-3.3179566
Gelli,51.64412,-3.4791874
Lanelay,51.534724,-3.3946941
Maerdy,51.67639,-3.4828567
Pontypridd,51.598827,-3.3305155
St Fagans,51.485452,-3.2676007
Trehafod,51.609302,-3.3688178
Troedyrhiw,51.708747,-3.3459111
Tynewydd,51.676774,-3.5451483
Western Avenue,51.497302,-3.209873
Hirwaun,51.738084,-3.5068175
Llanedeyrn,51.532726,-3.1196958
Waterloo Bridge Machen,51.58877,-3.1633676
Merthyr Tydfil,51.751781,-3.3876092
Nant Y Bwch,51.795113,-3.2606062
New Tredegar,51.723775,-3.2470382
Pontnewynydd / Abersychan,51.717802,-3.0585419
Rhiwderin,51.593782,-3.0713913
Aberaeron,52.237863,-4.257258
Aberkenfig,51.5468,-3.5918089
Aberystwyth Tidal,52.41151,-4.0863323
Blackpill,51.598169,-3.9950182
Upper Boverton,51.407869,-3.4614125
Bridgend,51.503202,-3.5807649
Brynmenyn,51.548032,-3.5824772
Canaston Bridge,51.802951,-4.7973706
Cilfrew,51.692271,-3.7686214
Cilrhedyn Bridge,51.976784,-4.9061292
Clog Y Fran,51.815096,-4.5571824
Coytrahen,51.557244,-3.6014347
Craig y Nos,51.826146,-3.6833826
Cwmafan,51.622579,-3.7477213
Cwm Rheidol,52.39699,-3.9224909
Cwmystwyth,52.347995,-3.7766991
Felindre Road,51.520786,-3.4961589
Glasfryn Ford,51.829767,-4.4832499
Gurnos,51.768833,-3.7802803
Haverfordwest,51.804475,-4.9701601
Keepers Lodge,51.492547,-3.5571753
Kiln Park,51.671617,-4.7123157
Llanelli Tidal,51.666436,-4.1647964
Llangendeirne,51.800654,-4.2423076
Llangorwen,52.434044,-4.0565474
Llanrhystud,52.306747,-4.1401657
Login,51.879059,-4.6659264
Maesteg,51.605807,-3.6458885
Marcroft Weir,51.604175,-3.7756791
Merlins Bridge,51.791496,-4.9786904
Middle Mill,51.886191,-5.1892605
Morfa,51.642181,-3.9325036
Neath Tidal,51.664935,-3.8087096
Ogmore Vale,51.603292,-3.5409914
Old Mill,51.522064,-3.4840352
Penybont,51.476884,-3.6188501
Pont Amman,51.795374,-3.9736645
Pont Llolwyn,52.375448,-4.0723786
Pont y Cerbyd,51.898375,-5.1724016
Pontardawe,51.718425,-3.8488319
Pontardulais,51.7156,-4.0297739
Pontneddfechan,51.761783,-3.5736689
Pontyates,51.753956,-4.2190412
Pontyberem,51.775038,-4.1842849
Prendergast Mill,51.82037,-4.9700452
Resolven,51.701481,-3.7157396
St Clears,51.819985,-4.4962942
Stepaside,51.736709,-4.6983973
Talsarn,52.18463,-4.1306231
Tir Y Dail,51.795704,-3.9977381
Whitland,51.818998,-4.6096
Ynys Fach Bridge,51.712221,-3.6956351
Ynystanglws,51.681515,-3.9026869
Llawr Cae,52.731453,-3.7499996
Hafod Wydr,53.031358,-4.1266087
Cwmlanerch,53.105483,-3.7921897
Dyfi Bridge,52.600602,-3.8550832
Dolybont,52.473289,-4.0117456
Pont Gethin,53.067667,-3.8131419
Pont y Cim,53.04567,-4.3282907
Tyddyn Gwladys,52.82019,-3.8770838
Dolgellau,52.744403,-3.8841207
Bala,52.908556,-3.5761997
Bala Weir X,52.910425,-3.5897706
Beddgelert,53.008685,-4.1002424
Bodfari,53.231404,-3.3420771
Bodffordd,53.265592,-4.3565279
Bontnewydd,53.114603,-4.2669071
Brynkinalt,52.928711,-3.050064
Corwen,52.979148,-3.3879242
Cynefail,52.963272,-3.7248956
Dee Bridge,52.903094,-3.5926989
Druid,52.981255,-3.430145
Pont y Garth,52.639739,-4.0242104
Emral Brook,53.007745,-2.8664166
Pencaenewydd,52.936851,-4.3821492
Farndon,53.083091,-2.8791264
Garndolbenmaen,52.962445,-4.2367037
Ironbridge,53.134144,-2.8713646
Lea Hall,53.120018,-2.8470366
Pont Fawr,53.137107,-3.7972137
Manley Hall,52.96665,-2.9716221
Nant Peris,53.100617,-4.0801768
New Inn,52.862986,-3.6745809
Peblic Mill,53.136374,-4.2520264
Pont Dafydd,53.262457,-3.4344599
Pont y Cambwll,53.227635,-3.3947504
Pont y Capel,53.079402,-2.9937308
Pont y Gwyddel,53.232715,-3.5709448
Rhuddlan,53.293488,-3.4750044
Rhydymwyn,53.191847,-3.1927941
Ruthin Weir,53.122874,-3.3137365
St Asaph,53.262103,-3.4495457
Trefriw,53.160207,-3.8241158
Wych Brook,53.007827,-2.8662841
Capel Dewi,51.863141,-4.201464
Craig Clungwyn,52.109412,-3.7924605
Ddol Las,52.077768,-3.971084
Dolau Hirion,52.010773,-3.8053884
Felin Mynachdy,51.880974,-4.1680298
Felin Y Cwm,51.922738,-3.8742037
Glan Gwili,51.873944,-4.2815034
Llandovery,51.993882,-3.7909876
Llangadog,51.94019,-3.8843733
Llanwrda,51.967319,-3.8725698
Llyn Brianne Reservoir,52.121775,-3.7644282
Manorafon,51.89827,-3.952721
Pont Felindre,51.99297,-3.7799834
Pothouse Wharf,51.853952,-4.3101593
Ty Castell,51.861705,-4.1921711
Ystradffin,52.11012,-3.77476
Glan Teifi,52.045405,-4.5617405
Llandysul,52.036513,-4.3173034
Llanfair,52.042094,-4.2857
Pont Llanio,52.193728,-3.9731095
Pontrhydfendigaid,52.28202,-3.8627965
Tregaron,52.220373,-3.9333274
Cowbridge,51.462147,-3.4460877
Gigman Bridge,51.435406,-3.4150018
Upper Boat Bridge,51.574987,-3.2920973
Pontypridd Sion Street,51.605117,-3.3379485
Abercynon,51.652094,-3.3320895
Bargoed,51.677829,-3.2221134
Cardigan Quay,52.081111,-4.6617115
Teddy Bear Bridge,51.780424,-3.7575561
Taibach,51.591334,-3.7679743
Felinfoel,51.699011,-4.1454977
Halfway,51.682963,-4.134887
Pont-y-Cob,51.655123,-4.0552328
Llanbadarn Fawr,52.403337,-4.0576176
Aberdare,51.713126,-3.440677
Aberbeeg,51.706354,-3.1450356
Brecon,51.947681,-3.3944346
Newtown,52.515882,-3.3121906
Bangor on Dee,53.000857,-2.9112057
Mold Leadmill Bridge,53.172387,-3.1374823
Pontblyddyn,53.137365,-3.0824575
Rossett Alyn Bridge,53.107304,-2.9520844
Aberbechan,52.535996,-3.2749431
Dolwen,52.455202,-3.4885196
Llanfyllin (Cain),52.763642,-3.2645846
Llansantffraid,52.775935,-3.1741992
Pont-y-Gaer,52.591665,-3.1613089
Treffgarne,51.879582,-4.9669448
Green Park Weir,51.593017,-3.7909658
Forge Bridge,51.833014,-3.9527407
Tal y Bont Leri,52.483186,-3.9826098
Trebeddrod,51.697373,-4.1666203
Glynneath,51.747541,-3.6166175
Llandybie,51.820865,-4.0051343
Ystradgynlais,51.772413,-3.7611148
Llangennech,51.697865,-4.0812204
Stradey Home Farm,51.689352,-4.189358
Llanddowror,51.799216,-4.5313643
Llanmaes,51.410578,-3.4597878
Esgair Carnau,51.809104,-3.4960723
Frampton Court,51.416653,-3.4780151
Clarion Close,51.664085,-3.9056726
Bassett Terrace,51.685948,-4.1920149
Tal y Bont Ceulan,52.484462,-3.9826378
Usk Reservoir,51.947783,-3.6893316
Llwynon Compensation Flume,51.790418,-3.434077
Pontsticill ,51.796014,-3.3635462
Springfield Gardens,51.51308,-3.5717394
Westend,51.585289,-3.7746105
Brecon Promenade,51.948274,-3.3951515
Ynys Las,52.518604,-4.0401846
Cartlett Brook,51.804122,-4.9591693
Liverpool,53.404931,-3.0135621
UKCMF HOLYHEAD TS,53.310472,-4.6284417
Ilfracombe,51.210566,-4.1124861
Avonmouth Portbury,51.492687,-2.7565905
Newport,51.453189,-3.159917
Mumbles,51.569605,-3.9776775
Milford Haven,51.707031,-5.0523641
Fishguard,52.006943,-4.9899699
Barmouth,52.719266,-4.0544707
Llandudno,53.327233,-3.8300191
